iter	RMSE
0	2910.592669
1	2674.527523
2	2475.913733
3	2285.672058
4	2103.700624
5	1954.941895
6	1813.674845
7	1682.258968
8	1556.851768
9	1448.523889
10	1339.925209
11	1243.828909
12	1153.367476
13	1070.522814
14	993.1694025
15	931.0404055
16	864.3918965
17	807.4991308
18	757.9251752
19	713.7406714
20	674.5109737
21	627.0694832
22	584.5335071
23	549.8516548
24	516.4122464
25	483.4923361
26	454.7161108
27	428.3025534
28	402.4334526
29	378.2610483
30	356.6634178
31	341.0856135
32	320.7677598
33	303.2403822
34	285.6033682
35	270.3696573
36	257.9385461
37	244.1517392
38	232.9077843
39	222.7772894
40	215.7144557
41	205.3214074
42	196.049479
43	188.4456671
44	180.8771452
45	173.6622007
46	167.3941172
47	163.2466227
48	157.9080173
49	153.8311727
50	149.8154752
51	146.1344918
52	142.7963318
53	140.2010044
54	137.0181442
55	134.682015
56	132.0930177
57	130.0329764
58	128.0430662
59	126.310441
60	124.9682536
61	123.0806835
62	121.797219
63	120.4671217
64	119.212664
65	117.5343515
66	116.3390708
67	115.2830222
68	114.1125154
69	113.0820321
70	111.7420403
71	111.1846909
72	109.864473
73	108.8211877
74	108.0125853
75	107.3010554
76	106.2983836
77	105.5468132
78	105.0163764
79	103.6947577
80	103.0134459
81	102.6079951
82	102.1573581
83	101.320192
84	100.157824
85	99.58652314
86	98.9060277
87	98.1661785
88	97.71268298
89	97.0991313
90	96.05528152
91	95.5722785
92	94.65082548
93	94.06992116
94	93.26434707
95	92.34100366
96	91.49817675
97	90.97873066
98	90.32732861
99	89.50420283
100	88.71866254
101	88.37455096
102	87.87227834
103	87.46344087
104	86.9596378
105	86.30351209
106	85.8941207
107	85.12934031
108	84.60813298
109	84.08060439
110	83.64833636
111	83.1508089
112	82.47156949
113	81.93374243
114	81.40433182
115	80.92024986
116	80.43426261
117	80.02184731
118	79.52343051
119	79.05832242
120	78.5484494
121	78.18574233
122	77.7926183
123	77.38249643
124	77.01019634
125	76.49706503
126	76.28264295
127	75.99695719
128	75.56656005
129	75.20012652
130	74.82387294
131	74.52111403
132	74.11118982
133	73.76649864
134	73.50852807
135	73.06360029
136	72.68891588
137	72.33112428
138	71.98660595
139	71.64028234
140	71.33386299
141	71.02812922
142	70.61222851
143	70.36386498
144	70.11642574
145	69.89857305
146	69.53109308
147	69.34693148
148	69.06976136
149	68.84209678
150	68.53699
151	68.1359799
152	67.79311509
153	67.51952423
154	67.20550206
155	66.91276958
156	66.74012659
157	66.3836436
158	66.22595505
159	65.95774116
160	65.78533645
161	65.41566362
162	65.17869989
163	64.77893534
164	64.54941792
165	64.223764
166	63.98654345
167	63.84358493
168	63.59249527
169	63.39782095
170	63.10094783
171	62.86076143
172	62.58312791
173	62.26276703
174	62.12927034
175	61.86164322
176	61.67021886
177	61.49286567
178	61.22204662
179	61.03302776
180	60.79984358
181	60.5242795
182	60.37334863
183	60.11192626
184	59.8563223
185	59.62576843
186	59.39548211
187	59.27648934
188	59.08519582
189	58.84834489
190	58.64697673
191	58.2006224
192	58.00341274
193	57.91007431
194	57.74300816
195	57.63291782
196	57.48042495
197	57.14288203
198	56.93332115
199	56.77964635
