iter	Passed	Remaining
0	10	2114
1	23	2344
2	31	2080
3	44	2196
4	57	2250
5	65	2112
6	75	2088
7	87	2099
8	95	2018
9	107	2040
10	119	2055
11	128	2015
12	142	2046
13	155	2065
14	168	2072
15	188	2165
16	205	2207
17	218	2204
18	235	2238
19	255	2299
20	270	2308
21	283	2296
22	297	2290
23	319	2343
24	330	2313
25	347	2323
26	361	2316
27	373	2295
28	381	2248
29	406	2301
30	427	2328
31	445	2340
32	457	2317
33	472	2307
34	485	2287
35	499	2275
36	509	2244
37	522	2228
38	535	2211
39	552	2209
40	566	2196
41	576	2167
42	585	2137
43	601	2131
44	611	2106
45	633	2120
46	655	2133
47	663	2100
48	676	2086
49	691	2074
50	706	2065
51	721	2053
52	733	2035
53	741	2004
54	753	1987
55	765	1967
56	772	1939
57	789	1932
58	805	1924
59	818	1910
60	831	1894
61	839	1868
62	854	1857
63	864	1837
64	875	1819
65	884	1795
66	899	1785
67	914	1774
68	926	1759
69	934	1734
70	943	1713
71	954	1696
72	967	1683
73	976	1661
74	1018	1697
75	1034	1687
76	1042	1665
77	1054	1648
78	1067	1634
79	1076	1614
80	1084	1593
81	1100	1583
82	1118	1576
83	1130	1561
84	1142	1546
85	1158	1535
86	1167	1517
87	1180	1502
88	1190	1485
89	1208	1477
90	1223	1465
91	1231	1445
92	1243	1430
93	1255	1415
94	1263	1396
95	1274	1380
96	1288	1368
97	1302	1355
98	1310	1337
99	1325	1325
100	1338	1311
101	1350	1297
102	1357	1278
103	1369	1264
104	1383	1251
105	1393	1236
106	1410	1225
107	1418	1208
108	1432	1195
109	1443	1180
110	1450	1163
111	1465	1151
112	1478	1138
113	1490	1124
114	1499	1108
115	1511	1094
116	1523	1080
117	1531	1064
118	1543	1050
119	1554	1036
120	1562	1019
121	1574	1006
122	1590	995
123	1599	980
124	1619	971
125	1635	960
126	1642	944
127	1653	930
128	1665	916
129	1672	900
130	1684	887
131	1697	874
132	1704	858
133	1718	846
134	1729	832
135	1737	817
136	1750	805
137	1762	792
138	1783	782
139	1802	772
140	1818	761
141	1829	747
142	1845	735
143	1855	721
144	1863	706
145	1875	693
146	1885	679
147	1894	665
148	1908	653
149	1923	641
150	1936	628
151	1944	613
152	1955	600
153	1967	587
154	1975	573
155	1987	560
156	2002	548
157	2018	536
158	2032	523
159	2041	510
160	2051	496
161	2065	484
162	2078	471
163	2088	458
164	2095	444
165	2120	434
166	2131	421
167	2143	408
168	2155	395
169	2164	381
170	2175	368
171	2187	356
172	2195	342
173	2217	331
174	2230	318
175	2246	306
176	2253	292
177	2268	280
178	2280	267
179	2292	254
180	2300	241
181	2315	229
182	2330	216
183	2342	203
184	2353	190
185	2364	177
186	2374	165
187	2386	152
188	2394	139
189	2409	126
190	2423	114
191	2437	101
192	2451	88
193	2459	76
194	2471	63
195	2482	50
196	2491	37
197	2501	25
198	2516	12
199	2529	0
